Nome;Partido;UF;Ativo
Acir Gurgacz;PDT;RO;Sim
Alessandro Vieira;PSDB;SE;Sim
Alexandre Silveira;PSD;MG;Sim
Alvaro Dias;PODEMOS;PR;Sim
Angelo Coronel;PSD;BA;Sim
Carlos Fávaro;PSD;MT;Sim
Carlos Portinho;PL;RJ;Sim
Carlos Viana;PL;MG;Sim
Chico Rodrigues;UNIÃO;RR;Sim
Cid Gomes;PDT;CE;Sim
Confúcio Moura;MDB;RO;Sim
Daniella Ribeiro;PP;PB;Sim
Dário Berger;PSB;SC;Sim
Davi Alcolumbre;UNIÃO;AP;Sim
Eduardo Braga;MDB;AM;Sim
Eduardo Girão;PODEMOS;CE;Sim
Eduardo Gomes;PL;TO;Sim
Eliane Nogueira;PP;PI;Sim
Eliziane Gama;CIDADANIA;MA;Sim
Elmano Férrer;PP;PI;Sim
Esperidião Amin;PP;SC;Sim
Fabiano Contarato;PT;ES;Sim
Fabio Garcia;UNIÃO;MT;Sim
Fernando Bezerra Coelho;MDB;PE;Sim
Fernando Collor;PTB;AL;Sim
Flávio Arns;PODEMOS;PR;Sim
Flávio Bolsonaro;PL;RJ;Sim
Giordano;MDB;SP;Sim
Humberto Costa;PT;PE;Sim
Irajá;PSD;TO;Sim
Izalci Lucas;PSDB;DF;Sim
Jader Barbalho;MDB;PA;Sim
Jaques Wagner;PT;BA;Sim
Jarbas Vasconcelos;MDB;PE;Sim
Jean Paul Prates;PT;RN;Sim
Jorge Kajuru;PODEMOS;GO;Sim
Jorginho Mello;PL;SC;Sim
José Serra;PSDB;SP;Sim
Kátia Abreu;PP;TO;Sim
Lasier Martins;PODEMOS;RS;Sim
Leila Barros;PDT;DF;Sim
Lucas Barreto;PSD;AP;Sim
Luis Carlos Heinze;PP;RS;Sim
Luiz Carlos do Carmo;PSC;GO;Sim
Mailza Gomes;PP;AC;Sim
Mara Gabrilli;PSDB;SP;Sim
Marcelo Castro;MDB;PI;Sim
Marcio Bittar;UNIÃO;AC;Sim
Marcos do Val;PODEMOS;ES;Sim
Marcos Rogério;PL;RO;Sim
Maria do Carmo Alves;UNIÃO;SE;Sim
Mecias de Jesus;REPUBLICANOS;RR;Sim
Nelsinho Trad;PSD;MS;Sim
Nilda Gondim;MDB;PB;Sim
Omar Aziz;PSD;AM;Sim
Oriovisto Guimarães;PODEMOS;PR;Sim
Otto Alencar;PSD;BA;Sim
Paulo Paim;PT;RS;Sim
Paulo Rocha;PT;PA;Sim
Plínio Valério;PSDB;AM;Sim
Randolfe Rodrigues;REDE;AP;Sim
Reguffe;UNIÃO;DF;Sim
Renan Calheiros;MDB;AL;Sim
Roberto Rocha;PTB;MA;Sim
Rodrigo Cunha;UNIÃO;AL;Sim
Rodrigo Pacheco;PSD;MG;Sim
Rogério Carvalho;PT;SE;Sim
Romário;PL;RJ;Sim
Rose de Freitas;MDB;ES;Sim
Sérgio Petecão;PSD;AC;Sim
Simone Tebet;MDB;MS;Sim
Soraya Thronicke;UNIÃO;MS;Sim
Styvenson Valentim;PODEMOS;RN;Sim
Tasso Jereissati;PSDB;CE;Sim
Telmário Mota;PROS;RR;Sim
Vanderlan Cardoso;PSD;GO;Sim
Veneziano Vital do Rêgo;MDB;PB;Sim
Wellington Fagundes;PL;MT;Sim
Weverton;PDT;MA;Sim
Zenaide Maia;PROS;RN;Sim
Zequinha Marinho;PL;PA;Sim
